Time,Signal
-0.004988,-1.6
-0.004984,-2.0
-0.00498,-2.0
-0.004976,-1.6
-0.004972,-2.0
-0.004968,-2.0
-0.004964,-2.0
-0.00496,-1.6
-0.004956,-2.0
-0.004952,-1.6
-0.004948,-1.6
-0.004944,-2.0
-0.00494,-1.6
-0.004936,-1.6
-0.004932,-1.6
-0.004928,-1.6
-0.004924,-2.0
-0.00492,-2.0
-0.004916,-2.0
-0.004912,-2.0
-0.004908,-2.0
-0.004904,-1.6
-0.0049,-1.6
-0.004896,-1.6
-0.004892,-1.6
-0.004888,-1.6
-0.004884,-2.0
-0.00488,-1.6
-0.004876,-1.6
-0.004872,-1.6
-0.004868,-2.0
-0.004864,-2.0
-0.00486,-1.6
-0.004856,-1.6
-0.004852,-1.6
-0.004848,-2.0
-0.004844,-2.0
-0.00484,-2.0
-0.004836,-2.0
-0.004832,-2.0
-0.004828,-1.6
-0.004824,-2.0
-0.00482,-2.0
-0.004816,-2.0
-0.004812,-1.6
-0.004808,-1.6
-0.004804,-2.0
-0.0048,-2.0
-0.004796,-2.0
-0.004792,-2.0
-0.004788,-1.6
-0.004784,-2.0
-0.00478,-2.0
-0.004776,-2.0
-0.004772,-2.0
-0.004768,-2.0
-0.004764,-2.0
-0.00476,-2.0
-0.004756,-2.0
-0.004752,-2.0
-0.004748,-2.0
-0.004744,-2.0
-0.00474,-2.0
-0.004736,-1.6
-0.004732,-2.0
-0.004728,-2.0
-0.004724,-2.0
-0.00472,-2.0
-0.004716,-2.0
-0.004712,-2.0
-0.004708,-2.0
-0.004704,-2.0
-0.0047,-1.6
-0.004696,-2.0
-0.004692,-2.0
-0.004688,-2.0
-0.004684,-2.0
-0.00468,-2.0
-0.004676,-2.0
-0.004672,-2.0
-0.004668,-2.0
-0.004664,-2.0
-0.00466,-2.0
-0.004656,-2.0
-0.004652,-2.0
-0.004648,-1.6
-0.004644,-2.0
-0.00464,-2.0
-0.004636,-2.0
-0.004632,-2.0
-0.004628,-2.0
-0.004624,-2.0
-0.00462,-1.6
-0.004616,-2.0
-0.004612,-2.0
-0.004608,-1.6
-0.004604,-1.6
-0.0046,-1.6
-0.004596,-2.0
-0.004592,-2.0
-0.004588,-2.0
-0.004584,-2.0
-0.00458,-2.0
-0.004576,-2.0
-0.004572,-1.6
-0.004568,-2.0
-0.004564,-1.6
-0.00456,-1.6
-0.004556,-1.6
-0.004552,-2.0
-0.004548,-2.0
-0.004544,-2.0
-0.00454,-1.6
-0.004536,-2.0
-0.004532,-1.6
-0.004528,-1.6
-0.004524,-2.0
-0.00452,-1.6
-0.004516,-1.6
-0.004512,-2.0
-0.004508,-2.0
-0.004504,-2.0
-0.0045,-1.6
-0.004496,-1.6
-0.004492,-2.0
-0.004488,-2.0
-0.004484,-1.6
-0.00448,-1.6
-0.004476,-1.6
-0.004472,-1.6
-0.004468,-1.6
-0.004464,-1.6
-0.00446,-1.6
-0.004456,-1.6
-0.004452,-1.6
-0.004448,-1.6
-0.004444,-1.6
-0.00444,-1.6
-0.004436,-1.6
-0.004432,-1.6
-0.004428,-1.6
-0.004424,-1.6
-0.00442,-2.0
-0.004416,-2.0
-0.004412,-1.6
-0.004408,-1.6
-0.004404,-1.6
-0.0044,-1.6
-0.004396,-1.6
-0.004392,-1.6
-0.004388,-1.6
-0.004384,-1.6
-0.00438,-2.0
-0.004376,-1.6
-0.004372,-1.2
-0.004368,-1.6
-0.004364,-1.6
-0.00436,-1.6
-0.004356,-1.6
-0.004352,-1.6
-0.004348,-1.6
-0.004344,-1.2
-0.00434,-1.6
-0.004336,-1.6
-0.004332,-1.6
-0.004328,-1.6
-0.004324,-1.2
-0.00432,-1.6
-0.004316,-1.2
-0.004312,-1.2
-0.004308,-1.6
-0.004304,-1.6
-0.0043,-1.6
-0.004296,-1.6
-0.004292,-1.2
-0.004288,-1.2
-0.004284,-1.2
-0.00428,-1.2
-0.004276,-1.2
-0.004272,-1.2
-0.004268,-1.2
-0.004264,-1.2
-0.00426,-1.2
-0.004256,-1.6
-0.004252,-1.2
-0.004248,-1.2
-0.004244,-1.2
-0.00424,-1.2
-0.004236,-1.2
-0.004232,-1.2
-0.004228,-1.2
-0.004224,-1.2
-0.00422,-1.2
-0.004216,-1.2
-0.004212,-1.2
-0.004208,-1.2
-0.004204,-1.2
-0.0042,-1.2
-0.004196,-1.2
-0.004192,-1.2
-0.004188,-1.2
-0.004184,-1.2
-0.00418,-1.2
-0.004176,-1.2
-0.004172,-1.2
-0.004168,-1.2
-0.004164,-1.2
-0.00416,-1.2
-0.004156,-1.2
-0.004152,-1.2
-0.004148,-0.8
-0.004144,-0.8
-0.00414,-0.8
-0.004136,-0.8
-0.004132,-1.2
-0.004128,-1.2
-0.004124,-0.8
-0.00412,-0.8
-0.004116,-0.8
-0.004112,-0.8
-0.004108,-0.8
-0.004104,-0.8
-0.0041,-0.8
-0.004096,-0.8
-0.004092,-0.8
-0.004088,-0.8
-0.004084,-0.8
-0.00408,-0.4
-0.004076,-0.8
-0.004072,-0.8
-0.004068,-0.4
-0.004064,-0.4
-0.00406,-0.4
-0.004056,-0.8
-0.004052,-0.8
-0.004048,-0.8
-0.004044,-0.8
-0.00404,-0.8
-0.004036,-0.8
-0.004032,-0.4
-0.004028,-0.8
-0.004024,-0.4
-0.00402,-0.4
-0.004016,-0.4
-0.004012,-0.4
-0.004008,-0.4
-0.004004,-0.4
-0.004,-0.4
-0.003996,-0.4
-0.003992,-0.4
-0.003988,-0.4
-0.003984,-0.4
-0.00398,-0.4
-0.003976,-0.4
-0.003972,-0.4
-0.003968,-0.4
-0.003964,-0.4
-0.00396,-0.4
-0.003956,-0.4
-0.003952,-0.4
-0.003948,-0.4
-0.003944,-0.4
-0.00394,-0.4
-0.003936,-0.4
-0.003932,0.0
-0.003928,-0.4
-0.003924,0.0
-0.00392,0.0
-0.003916,-0.4
-0.003912,-0.4
-0.003908,-0.4
-0.003904,-0.4
-0.0039,-0.4
-0.003896,0.0
-0.003892,0.0
-0.003888,0.0
-0.003884,0.0
-0.00388,0.0
-0.003876,0.0
-0.003872,0.0
-0.003868,0.0
-0.003864,0.0
-0.00386,0.0
-0.003856,0.0
-0.003852,0.4
-0.003848,0.4
-0.003844,0.0
-0.00384,0.0
-0.003836,0.4
-0.003832,0.0
-0.003828,0.0
-0.003824,0.4
-0.00382,0.4
-0.003816,0.4
-0.003812,0.4
-0.003808,0.4
